19.2357 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
23.6285 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021A9E33ED00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021A9E33ECA0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021A9E33EB20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021A9E6EE1F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.6287 	EXP 	window1: mouseVisible = True
23.6287 	EXP 	window1: backgroundImage = ''
23.6287 	EXP 	window1: backgroundFit = 'none'
23.6339 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.6339 	EXP 	window1: recordFrameIntervals = False
23.7946 	EXP 	window1: recordFrameIntervals = True
23.9783 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
23.9783 	EXP 	window1: recordFrameIntervals = False
23.9785 	EXP 	window1: mouseVisible = False
30.0793 	EXP 	untitled: status = STARTED
30.0830 	EXP 	window1: mouseVisible = True
30.4014 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
30.4147 	EXP 	window1: mouseVisible = True
30.4157 	EXP 	window1: mouseVisible = True
30.4268 	EXP 	window1: mouseVisible = True
30.4271 	EXP 	window1: mouseVisible = True
30.4281 	EXP 	window1: mouseVisible = True
30.4288 	EXP 	window1: mouseVisible = True
30.4867 	EXP 	window1: mouseVisible = True
30.4870 	EXP 	window1: mouseVisible = True
30.4879 	EXP 	window1: mouseVisible = True
30.4885 	EXP 	window1: mouseVisible = True
30.5593 	EXP 	window1: mouseVisible = True
30.5596 	EXP 	window1: mouseVisible = True
30.5606 	EXP 	window1: mouseVisible = True
30.5615 	EXP 	window1: mouseVisible = True
30.5851 	EXP 	window1: mouseVisible = True
30.5853 	EXP 	window1: mouseVisible = True
30.5861 	EXP 	window1: mouseVisible = True
30.5868 	EXP 	window1: mouseVisible = True
30.6112 	EXP 	window1: mouseVisible = True
30.6114 	EXP 	window1: mouseVisible = True
30.6121 	EXP 	window1: mouseVisible = True
30.6128 	EXP 	window1: mouseVisible = True
30.6390 	EXP 	window1: mouseVisible = True
30.6393 	EXP 	window1: mouseVisible = True
30.6412 	EXP 	window1: mouseVisible = True
30.6421 	EXP 	window1: mouseVisible = True
30.6661 	EXP 	window1: mouseVisible = True
30.6663 	EXP 	window1: mouseVisible = True
30.6674 	EXP 	window1: mouseVisible = True
30.6682 	EXP 	window1: mouseVisible = True
30.6901 	EXP 	window1: mouseVisible = True
30.6903 	EXP 	window1: mouseVisible = True
30.6912 	EXP 	window1: mouseVisible = True
30.6919 	EXP 	window1: mouseVisible = True
30.7127 	EXP 	window1: mouseVisible = True
30.7129 	EXP 	window1: mouseVisible = True
30.7137 	EXP 	window1: mouseVisible = True
30.7143 	EXP 	window1: mouseVisible = True
30.7365 	EXP 	window1: mouseVisible = True
30.7367 	EXP 	window1: mouseVisible = True
30.7374 	EXP 	window1: mouseVisible = True
30.7383 	EXP 	window1: mouseVisible = True
